1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2,1,2,1,1,5,3,1,4,2,1,1,1,4,4,0,2,4,4,2,2,1,3,2,9,3,2,2,8,4,2,0,2,2,3,0,2,2,1,0,1,2,1,1,0,4,3,3,0,1,2,4,2,2,1,2,2,2,1,1,3,4,3,2,1,2,0,2,1,1,2,1,1,2,2,1,0,4,9,1,5,2,4,1,1,8,2,1,2,3,3,5,1,3,0,6,1,0,2,1
2.0,1.5,1.6666666666666667,1.5,1.4,2.0,2.142857142857143,2.0,2.2222222222222223,2.2,2.090909090909091,2.0,1.9230769230769231,2.0714285714285716,2.2,2.0625,2.0588235294117645,2.1666666666666665,2.263157894736842,2.25,2.238095238095238,2.1818181818181817,2.217391304347826,2.2083333333333335,2.48,2.5,2.4814814814814814,2.4642857142857144,2.6551724137931036,2.7,2.6774193548387095,2.59375,2.5757575757575757,2.5588235294117645,2.5714285714285716,2.5,2.4864864864864864,2.473684210526316,2.4358974358974357,2.375,2.341463414634146,2.3333333333333335,2.302325581395349,2.272727272727273,2.2222222222222223,2.260869565217391,2.276595744680851,2.2916666666666665,2.2448979591836733,2.22,2.215686274509804,2.25,2.2452830188679247,2.240740740740741,2.2181818181818183,2.2142857142857144,2.210526315789474,2.206896551724138,2.1864406779661016,2.1666666666666665,2.180327868852459,2.2096774193548385,2.2222222222222223,2.21875,2.2,2.196969696969697,2.1641791044776117,2.161764705882353,2.1449275362318843,2.1285714285714286,2.1267605633802815,2.111111111111111,2.095890410958904,2.0945945945945947,2.0933333333333333,2.0789473684210527,2.051948051948052,2.076923076923077,2.1645569620253164,2.15,2.185185185185185,2.182926829268293,2.2048192771084336,2.1904761904761907,2.176470588235294,2.244186046511628,2.2413793103448274,2.227272727272727,2.2247191011235956,2.2333333333333334,2.241758241758242,2.2717391304347827,2.2580645161290325,2.265957446808511,2.2421052631578946,2.28125,2.268041237113402,2.2448979591836733,2.242424242424242,2.23
80,52,44,209,89,92,400,58,61,178,51,78,83,87,140,96,120,97,91,185,28,74,142,32,112,57,132,70,83,187,35,106,92,208,51,108,62,101,65,102,155,44,98,97,49,73,214,56,76,90,400,103,249,82,152,68,42,205,102,28,130,104,82,163,67,200,198,55,77,400,143,126,112,109,84,158,61,146,152,144,151,95,58,99,51,114,141,157,116,165,174,115,151,108,84,88,146,72,185,150
80.0,66.0,58.666666666666664,96.25,94.8,94.33333333333333,138.0,128.0,120.55555555555556,126.3,119.45454545454545,116.0,113.46153846153847,111.57142857142857,113.46666666666667,112.375,112.82352941176471,111.94444444444444,110.84210526315789,114.55,110.42857142857143,108.77272727272727,110.21739130434783,106.95833333333333,107.16,105.23076923076923,106.22222222222223,104.92857142857143,104.17241379310344,106.93333333333334,104.61290322580645,104.65625,104.27272727272727,107.32352941176471,105.71428571428571,105.77777777777777,104.5945945945946,104.5,103.48717948717949,103.45,104.70731707317073,103.26190476190476,103.13953488372093,103.0,101.8,101.17391304347827,103.57446808510639,102.58333333333333,102.04081632653062,101.8,107.6470588235294,107.5576923076923,110.22641509433963,109.70370370370371,110.47272727272727,109.71428571428571,108.52631578947368,110.1896551724138,110.05084745762711,108.68333333333334,109.0327868852459,108.95161290322581,108.52380952380952,109.375,108.72307692307692,110.10606060606061,111.41791044776119,110.58823529411765,110.10144927536231,114.24285714285715,114.64788732394366,114.80555555555556,114.76712328767124,114.6891891891892,114.28,114.85526315789474,114.15584415584415,114.56410256410257,115.0379746835443,115.4,115.8395061728395,115.58536585365853,114.89156626506023,114.70238095238095,113.95294117647059,113.95348837209302,114.26436781609195,114.75,114.76404494382022,115.32222222222222,115.96703296703296,115.95652173913044,116.33333333333333,116.24468085106383,115.90526315789474,115.61458333333333,115.9278350515464,115.4795918367347,116.18181818181819,116.52
