1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
16,27,19,16,23,19,21,24,20,29,26,10,12,25,21,14,31,18,9,19,25,20,16,25,21,18,18,18,22,22,25,25,23,22,29,14,27,25,18,29,21,27,12,23,14,23,18,15,32,11,25,20,26,20,23,23,23,21,23,25,28
16.0,21.5,20.666666666666668,19.5,20.2,20.0,20.142857142857142,20.625,20.555555555555557,21.4,21.818181818181817,20.833333333333332,20.153846153846153,20.5,20.533333333333335,20.125,20.764705882352942,20.61111111111111,20.0,19.95,20.19047619047619,20.181818181818183,20.0,20.208333333333332,20.24,20.153846153846153,20.074074074074073,20.0,20.06896551724138,20.133333333333333,20.29032258064516,20.4375,20.515151515151516,20.558823529411764,20.8,20.61111111111111,20.783783783783782,20.894736842105264,20.82051282051282,21.025,21.024390243902438,21.166666666666668,20.953488372093023,21.0,20.844444444444445,20.891304347826086,20.829787234042552,20.708333333333332,20.93877551020408,20.74,20.823529411764707,20.807692307692307,20.90566037735849,20.88888888888889,20.927272727272726,20.964285714285715,21.0,21.0,21.033898305084747,21.1,21.21311475409836
61,400,400,72,400,400,400,400,171,400,85,33,52,400,400,400,400,84,14,400,94,96,40,73,400,97,400,400,400,400,400,400,400,118,400,400,400,400,400,106,400,400,139,400,74,400,400,93,400,37,400,400,400,400,400,400,112,121,160,400,400
61.0,230.5,287.0,233.25,266.6,288.8333333333333,304.7142857142857,316.625,300.44444444444446,310.4,289.90909090909093,268.5,251.84615384615384,262.42857142857144,271.6,279.625,286.70588235294116,275.44444444444446,261.6842105263158,268.6,260.2857142857143,252.8181818181818,243.56521739130434,236.45833333333334,243.0,237.3846153846154,243.40740740740742,249.0,254.20689655172413,259.06666666666666,263.61290322580646,267.875,271.8787878787879,267.3529411764706,271.14285714285717,274.72222222222223,278.1081081081081,281.3157894736842,284.35897435897436,279.9,282.8292682926829,285.6190476190476,282.2093023255814,284.8863636363636,280.2,282.80434782608694,285.29787234042556,281.2916666666667,283.7142857142857,278.78,281.15686274509807,283.4423076923077,285.64150943396226,287.75925925925924,289.8,291.76785714285717,288.6140350877193,285.7241379310345,283.59322033898303,285.53333333333336,287.40983606557376
