1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,3,3,3,5,0,3,1,2,0,1,1,1,1,2,2,4,3,2,0,4,0,1,0,3,2,3,1,3,3,5,2,3,1,1,2,2,3,0,3,0,1,2,1,3,1,4,4,3,3,3,4,0,1,10,1,2,0,3,3,2,1,3,3,2,6,3,4,4,1,3,5,2,1,0,5,4,2,3,1,2,6,2,3,2,9,3,1,1,1,3,2,1,3,1,3,1,3,1,2
3.0,3.0,3.0,3.0,3.4,2.8333333333333335,2.857142857142857,2.625,2.5555555555555554,2.3,2.1818181818181817,2.0833333333333335,2.0,1.9285714285714286,1.9333333333333333,1.9375,2.0588235294117645,2.111111111111111,2.1052631578947367,2.0,2.0952380952380953,2.0,1.9565217391304348,1.875,1.92,1.9230769230769231,1.962962962962963,1.9285714285714286,1.9655172413793103,2.0,2.096774193548387,2.09375,2.121212121212121,2.088235294117647,2.057142857142857,2.0555555555555554,2.054054054054054,2.0789473684210527,2.0256410256410255,2.05,2.0,1.9761904761904763,1.9767441860465116,1.9545454545454546,1.9777777777777779,1.9565217391304348,2.0,2.0416666666666665,2.061224489795918,2.08,2.0980392156862746,2.1346153846153846,2.0943396226415096,2.074074074074074,2.2181818181818183,2.1964285714285716,2.192982456140351,2.1551724137931036,2.169491525423729,2.183333333333333,2.180327868852459,2.161290322580645,2.1746031746031744,2.1875,2.1846153846153844,2.242424242424242,2.253731343283582,2.2794117647058822,2.3043478260869565,2.2857142857142856,2.295774647887324,2.3333333333333335,2.328767123287671,2.310810810810811,2.28,2.3157894736842106,2.3376623376623376,2.3333333333333335,2.3417721518987342,2.325,2.3209876543209877,2.3658536585365852,2.36144578313253,2.369047619047619,2.364705882352941,2.441860465116279,2.4482758620689653,2.4318181818181817,2.4157303370786516,2.4,2.4065934065934065,2.402173913043478,2.3870967741935485,2.393617021276596,2.3789473684210525,2.3854166666666665,2.3711340206185567,2.377551020408163,2.3636363636363638,2.36
195,261,400,100,118,52,156,84,102,183,67,400,82,39,61,400,400,76,119,57,400,40,260,38,97,99,400,220,58,130,400,105,256,76,109,183,45,132,43,131,62,107,124,55,230,146,130,400,89,187,178,220,109,48,102,52,89,56,170,65,112,99,75,96,137,400,82,400,105,400,71,148,400,54,51,400,61,87,48,78,61,400,123,146,79,400,198,135,400,157,155,47,99,72,70,76,80,188,85,192
195.0,228.0,285.3333333333333,239.0,214.8,187.66666666666666,183.14285714285714,170.75,163.11111111111111,165.1,156.1818181818182,176.5,169.23076923076923,159.92857142857142,153.33333333333334,168.75,182.35294117647058,176.44444444444446,173.42105263157896,167.6,178.66666666666666,172.36363636363637,176.17391304347825,170.41666666666666,167.48,164.84615384615384,173.55555555555554,175.21428571428572,171.17241379310346,169.8,177.2258064516129,174.96875,177.42424242424244,174.44117647058823,172.57142857142858,172.86111111111111,169.40540540540542,168.42105263157896,165.2051282051282,164.35,161.85365853658536,160.54761904761904,159.69767441860466,157.3181818181818,158.93333333333334,158.65217391304347,158.04255319148936,163.08333333333334,161.57142857142858,162.08,162.3921568627451,163.5,162.47169811320754,160.35185185185185,159.29090909090908,157.375,156.17543859649123,154.44827586206895,154.71186440677965,153.21666666666667,152.54098360655738,151.67741935483872,150.46031746031747,149.609375,149.41538461538462,153.21212121212122,152.1492537313433,155.7941176470588,155.05797101449275,158.55714285714285,157.32394366197184,157.19444444444446,160.5205479452055,159.0810810810811,157.64,160.82894736842104,159.53246753246754,158.60256410256412,157.20253164556962,156.2125,155.03703703703704,158.02439024390245,157.6024096385542,157.46428571428572,156.54117647058823,159.37209302325581,159.816091954023,159.5340909090909,162.23595505617976,162.17777777777778,162.0989010989011,160.84782608695653,160.18279569892474,159.24468085106383,158.30526315789473,157.44791666666666,156.64948453608247,156.96938775510205,156.24242424242425,156.6
