1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
6,11,8,9,12,15,11,10,9,13,10,15,13,12,12,14,11,14,12,15,10,14,11,8,11,11,9,14,16,20,16,10,13,11,6,15,9,8,11,7,12,13,14,14,12,9,10,13,13,12,16,11,8,13,10,9,9,9,12,10,15,13,14,13,10,11,15,9,14,10,15,11,18,15,13,21,15,14,10,13,9,10,10,12,15,13,11,15,11,9,13,11,16,14,16,13,11,11,12,10
6.0,8.5,8.333333333333334,8.5,9.2,10.166666666666666,10.285714285714286,10.25,10.11111111111111,10.4,10.363636363636363,10.75,10.923076923076923,11.0,11.066666666666666,11.25,11.235294117647058,11.38888888888889,11.421052631578947,11.6,11.523809523809524,11.636363636363637,11.608695652173912,11.458333333333334,11.44,11.423076923076923,11.333333333333334,11.428571428571429,11.586206896551724,11.866666666666667,12.0,11.9375,11.969696969696969,11.941176470588236,11.771428571428572,11.86111111111111,11.783783783783784,11.68421052631579,11.666666666666666,11.55,11.560975609756097,11.595238095238095,11.651162790697674,11.704545454545455,11.71111111111111,11.652173913043478,11.617021276595745,11.645833333333334,11.673469387755102,11.68,11.764705882352942,11.75,11.679245283018869,11.703703703703704,11.672727272727272,11.625,11.578947368421053,11.53448275862069,11.542372881355933,11.516666666666667,11.573770491803279,11.596774193548388,11.634920634920634,11.65625,11.63076923076923,11.621212121212121,11.671641791044776,11.632352941176471,11.666666666666666,11.642857142857142,11.690140845070422,11.680555555555555,11.767123287671232,11.81081081081081,11.826666666666666,11.947368421052632,11.987012987012987,12.012820512820513,11.987341772151899,12.0,11.962962962962964,11.939024390243903,11.91566265060241,11.916666666666666,11.952941176470588,11.965116279069768,11.954022988505747,11.988636363636363,11.97752808988764,11.944444444444445,11.956043956043956,11.945652173913043,11.989247311827956,12.01063829787234,12.052631578947368,12.0625,12.051546391752577,12.040816326530612,12.04040404040404,12.02
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
