1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2,6,2,0,5,4,4,1,2,1,2,3,0,1,5,2,1,3,2,3,4,0,2,4,7,0,4,2,3,1,5,2,4,5,6,1,3,3,2,2,2,4,8,5,2,3,0,1,3,1,2,1,2,7,2,1,8,3,2,2,1,5,3,3,1,1,1,2,1,3,1,2,2,1,1,1,2,2,2,3,0,1,8,3,4,1,1,3,5,3,3,2,4,9,2,2,7,0,1,2
2.0,4.0,3.3333333333333335,2.5,3.0,3.1666666666666665,3.2857142857142856,3.0,2.888888888888889,2.7,2.6363636363636362,2.6666666666666665,2.4615384615384617,2.357142857142857,2.533333333333333,2.5,2.411764705882353,2.4444444444444446,2.4210526315789473,2.45,2.5238095238095237,2.409090909090909,2.391304347826087,2.4583333333333335,2.64,2.5384615384615383,2.5925925925925926,2.5714285714285716,2.586206896551724,2.533333333333333,2.6129032258064515,2.59375,2.6363636363636362,2.7058823529411766,2.8,2.75,2.7567567567567566,2.763157894736842,2.7435897435897436,2.725,2.707317073170732,2.738095238095238,2.86046511627907,2.909090909090909,2.888888888888889,2.891304347826087,2.8297872340425534,2.7916666666666665,2.795918367346939,2.76,2.7450980392156863,2.7115384615384617,2.69811320754717,2.7777777777777777,2.7636363636363637,2.732142857142857,2.824561403508772,2.8275862068965516,2.8135593220338984,2.8,2.7704918032786887,2.806451612903226,2.8095238095238093,2.8125,2.7846153846153845,2.757575757575758,2.7313432835820897,2.7205882352941178,2.6956521739130435,2.7,2.676056338028169,2.6666666666666665,2.6575342465753424,2.635135135135135,2.6133333333333333,2.5921052631578947,2.5844155844155843,2.576923076923077,2.569620253164557,2.575,2.54320987654321,2.524390243902439,2.5903614457831323,2.5952380952380953,2.611764705882353,2.5930232558139537,2.574712643678161,2.5795454545454546,2.606741573033708,2.611111111111111,2.6153846153846154,2.608695652173913,2.6236559139784945,2.6914893617021276,2.6842105263157894,2.6770833333333335,2.7216494845360826,2.693877551020408,2.676767676767677,2.67
68,166,168,45,400,400,176,78,248,400,138,106,82,82,104,53,71,155,86,400,193,43,79,122,112,85,134,75,172,53,136,400,89,400,400,129,270,141,68,74,137,400,243,274,58,136,95,55,185,84,230,92,86,204,159,69,132,121,74,101,88,234,128,212,400,79,81,124,75,166,85,176,113,400,160,73,400,52,195,106,59,400,180,400,271,61,104,94,192,400,135,118,400,86,100,121,104,54,89,122
68.0,117.0,134.0,111.75,169.4,207.83333333333334,203.28571428571428,187.625,194.33333333333334,214.9,207.9090909090909,199.41666666666666,190.3846153846154,182.64285714285714,177.4,169.625,163.8235294117647,163.33333333333334,159.26315789473685,171.3,172.33333333333334,166.45454545454547,162.65217391304347,160.95833333333334,159.0,156.15384615384616,155.33333333333334,152.46428571428572,153.13793103448276,149.8,149.3548387096774,157.1875,155.12121212121212,162.3235294117647,169.11428571428573,168.0,170.75675675675674,169.97368421052633,167.35897435897436,165.025,164.34146341463415,169.95238095238096,171.65116279069767,173.97727272727272,171.4,170.6304347826087,169.0212765957447,166.64583333333334,167.0204081632653,165.36,166.62745098039215,165.19230769230768,163.69811320754718,164.44444444444446,164.34545454545454,162.64285714285714,162.10526315789474,161.39655172413794,159.91525423728814,158.93333333333334,157.7704918032787,159.0,158.5079365079365,159.34375,163.04615384615386,161.77272727272728,160.56716417910448,160.02941176470588,158.79710144927537,158.9,157.85915492957747,158.11111111111111,157.4931506849315,160.77027027027026,160.76,159.60526315789474,162.72727272727272,161.30769230769232,161.73417721518987,161.0375,159.77777777777777,162.70731707317074,162.9156626506024,165.73809523809524,166.9764705882353,165.74418604651163,165.0344827586207,164.22727272727272,164.53932584269663,167.15555555555557,166.8021978021978,166.27173913043478,168.78494623655914,167.90425531914894,167.18947368421053,166.70833333333334,166.06185567010309,164.91836734693877,164.15151515151516,163.73
